brand,alias
delamotte,деламотт
park,дарк
grigia,гриджа
spaten,шпатен
laphroaig,лафройг
negra,негра
tannat,таннат
blanche,бланше
aberdour,абердор
baltasar,бальтасар
demi,деми
man,мэн
pitia,пития
buratta,буррата
edmond,эдмон
sovereign,соверен
set,сет
arcobrau,аркоброй
poire,пуаре
vetta,ветта
perignon,периньон
pepsi,пепси
minttu,минту
epenots,эпено
valley,валей
serra,серра
vonkel,вонкель
pradorey,прадорэй
gosser,гессер
boddingtons,боддингтонс
azteca,ацтека
araget,арагет
cream,крим
martinez,мартинез
gold,гольд
borealis,бореалис
capa,капа
tomatin,томатин
savigny-les-beaune,савини-ле-бон
wellington,веллингтон
derriere,деррьер
murganheira,мурганейра
ca'tullio,ка'туллио
crianza,крианца
imperial,империаль
kabinett,кабинетт
velvet,вельвет
boulanger,буланжер
joseph,жозеф
spring,спринг
xenta,ксента
maurine,морин
venezie,венеция
stein,штайн
windsor,виндзор
rios,риос
aroma,арома
lunae,лунае
mon,мон
original,ориджинал
bouvet,буве
bubble,баббл
oban,обан
trio,трио
bacalhoa,бакалхоа
prisonniere,призоньер
pertsovochka,перцовочка
pomme,помм
vigne,винь
colline,коллине
darby's,дарби
leboground,лебугрунд
zalgiris,залгирис
bouchard,бушард
product,продукт
dublin,даблин
capra,капра
sport,спорт
conte,конте
cayo,кайо
napoleon,наполеон
alcamo,алькамо
fussigny,фуссиньи
lays,лейс
favieres,фавьер
gracian,грасиан
compte,конт
oranjeboom,ораньебум
mazzolada,маззолада
rapitala,рапитала
paramonga,парамонья
oligocene,олигоцен
white,вайт
blended,блендид
cardo,кардо
corvina,корвина
antico,антико
negroamaro,негроамаро
molinari,молинари
calvados,кальвадос
osmoz,осмос
terrassen,террассен
tonnerre,тоннер
bisquit,бисквит
doge,додже
piper,пайпер
porter,портер
schillingsberg,шиллингсберг
spaghetti,спагетти
private,приват
hamiltons,гамильтонс
velkopopovicky,велкопоповицкий
pugil,пухиль
sorelli,орелли
origine,ориджине
fourchaume,фуршом
hlebnik,хлебник
dirol,дирол
toblerone,тоблерон
gramercy,грамерси
mezcal,мескаль
blanchots,бланшо
citran,ситран
lunare,лунаре
milagro,милагро
seleccionada,селексионада
vin,жён
hunter,хантер
spiel,шпиль
ipa,ипа
lila,лила
beaumont,бомон
antica,антика
rabbit,раббит
nuchar,нучар
l'aspic,л'аспик
geometry,геометри
evan,эван
soave,соаве
mary,мэри
mieszko,миешко
maxime,максим
mark,марк
licor,ликер
langhe,ланге
fish`ka,фиш`ка
sensation,сенсейшен
dreams,дримс
absinth,абсент
dolce,дольче
moscato,москато
salty,салит
alpen,альпен
ferdinand's,фердинанд'с
foncalieu,фонкалье
maniban,манибан
venerables,венерабль
inzolia,инзолия
sandiliano,андилиано
cour,кур
natureo,натурео
fiordipesco,фьордипеско
superiore,суперьоре
absolvent,абсолвент
neue,нэу
taka,така
marnier,марнье
bishops,бишоп
lago,лаго
pangea,пангеа
aria,ария
berries,берриз
donnadieu,доннадью
fabuloso,фабулосо
qualitetswein,квалитетсвайн
bene,бене
parmegrino,пармерино
bull,булл
angel,анхель
amabile,амабиле
jourdan,журдан
blanquette,бланкет
divino,дивино
muscat,мюска
melgaco,мелгасу
olifant,олифант
mango,манго
fiorino,фиорино
scott,скот
mineralstein,минералштейн
brava,брава
epoque,эпок
tinto,тинто
mateus,матеус
takamaka,такамака
parliament,парламент
extravaganza,экстраваганза
letto,летто
fox,фокс
perigan's,периган'с
shardonnay,шардоне
pur,пур
d’or,д’ор
capitel,капитель
vigneto,виньето
federspiel,федершпиль
marsannay,марсанне
brunel,брюнель
antarctica,антарктика
compass,компасс
abbot,абэт
muros,мурос
alexander,александр
swissparm,свисспарм
principato,принчипато
javillier,жавилье
wieninger,винингер
car,кар
ritter,риттер
garnacha,гарнача
novacella,новачелла
pico,пико
floreal,флореаль
sommer,соммер
folie,фоли
annees,анне
vaccari,ваккари
summum,суммум
seal,сил
santo,санто
camus,камю
storm,шторм
port,порт
sella,селла
pinet,пине
energyzer,энерджайзер
croise,круазе
dornfelder,дорфельдер
blass,бласс
treviso,тревизо
late,лейт
snickers,сникерс
lenco,ленко
liebenweiss,либенвайс
bellingham,беллингем
mac,мак
sartori,сартори
vinum,винум
valley,велли
dalmore,далмор
frutz,фрутз
tradition,традисьон
tlath,тла
croix,круа
kremlin,кремлин
magnifique,манифик
abbazia,аббация
carpene,карпене
organistrum,органиструм
maasdam,маасдам
valdo,вальдо
redd's,редс
ecosmos,екосмос
rose,роз
beast,бист
fragoline,фраголине
lawson’s,лоусонс
fragolino,фраголино
nature,натур
wild,ваилд
escondida,эскондида
grandes,грандз
varda,верде
angus,ангус
orange,оранж
blush,блаш
piktime,пиктайм
petra,петра
lorenzo,лоренцо
takar,такар
icaro,икаро
bud,бад
originale,ориджинале
pays,пейс
estates,эстейтс
doublemint,даблминт
stick,стик
fondatore,фондаторе
prädikatswein,предикатсвайн
mouse,маус
songe,сонж
l'horizon,л'оризон
sesto,сесто
amarone,амароне
secco,секко
contrabando,контрабандо
skoff,скофф
cuvee,кюве
stiegl,штигель
erdinger,эрдингер
collezione,коллецьоне
lenotti,ленотти
d'angludet,д'англюде
d'aguesseau,д'агессо
india,индиа
green,грин
petite,птит
spearmint,спеарминт
standard,стандарт
nerello,нерелло
monin,монин
belmont,бельмон
selters,сэлтерс
vorberg,форберг
petrone,петроне
apfelwein,апфельвайн
devise,девиз
baileys,бейлис
harp,харп
botter,боттер
nut,нат
tutto,тутто
corr,корр
colombia,коломбия
gavi,гави
extremarium,экстремариум
fins,фэн
tambe,тамбе
caracas,каракас
cascinone,кашиноне
lacrima,лакрима
ximenez,хименес
days,дэйз
terregaie,террегайе
bouvier,бувье
kilos,килос
fit,фит
giorgio,джорджио
discreto,дискрето
finnord,финнорд
bucatiki,букатики
franziskaner,францисканер
